date,batch_id,machine_id,shift,operator_id,units_produced,defective_units,defect_rate,material_batch,supplier_id
2024-02-01,B001,M01,A,OP01,500,9,0.018,MAT-A01,SUP-X
2024-02-01,B002,M02,A,OP02,480,10,0.021,MAT-A01,SUP-X
2024-02-01,B003,M17,B,OP03,510,10,0.020,MAT-A01,SUP-X
2024-02-02,B004,M01,A,OP01,495,9,0.018,MAT-A01,SUP-X
2024-02-02,B005,M17,B,OP03,505,11,0.022,MAT-A01,SUP-X
2024-02-05,B006,M02,A,OP02,490,10,0.020,MAT-A01,SUP-X
2024-02-05,B007,M17,B,OP04,498,10,0.020,MAT-A01,SUP-X
2024-02-08,B008,M01,C,OP05,502,10,0.020,MAT-A01,SUP-X
2024-02-08,B009,M17,C,OP06,495,9,0.018,MAT-A01,SUP-X
2024-02-12,B010,M02,A,OP02,510,10,0.020,MAT-A01,SUP-X
2024-02-12,B011,M17,B,OP03,500,11,0.022,MAT-A01,SUP-X
2024-02-15,B012,M01,A,OP01,498,10,0.020,MAT-A02,SUP-X
2024-02-15,B013,M17,B,OP03,505,10,0.020,MAT-A02,SUP-X
2024-02-20,B014,M02,C,OP07,488,10,0.020,MAT-A02,SUP-X
2024-02-20,B015,M17,C,OP06,510,10,0.020,MAT-A02,SUP-X
2024-02-26,B016,M01,A,OP01,500,10,0.020,MAT-A02,SUP-X
2024-02-26,B017,M17,B,OP03,495,10,0.020,MAT-A02,SUP-X
2024-03-01,B018,M01,A,OP01,500,10,0.020,MAT-A02,SUP-X
2024-03-01,B019,M02,B,OP02,490,10,0.020,MAT-A02,SUP-X
2024-03-01,B020,M17,C,OP06,498,10,0.020,MAT-A02,SUP-X
2024-03-04,B021,M01,A,OP01,502,10,0.020,MAT-A02,SUP-X
2024-03-04,B022,M17,B,OP03,505,10,0.020,MAT-A02,SUP-X
2024-03-05,B023,M01,A,OP01,498,10,0.020,MAT-X17,SUP-Y
2024-03-05,B024,M02,C,OP07,492,10,0.020,MAT-X17,SUP-Y
2024-03-05,B025,M17,B,OP03,500,11,0.022,MAT-X17,SUP-Y
2024-03-06,B026,M01,A,OP01,500,10,0.020,MAT-X17,SUP-Y
2024-03-06,B027,M17,B,OP03,498,11,0.022,MAT-X17,SUP-Y
2024-03-07,B028,M01,A,OP01,502,10,0.020,MAT-X17,SUP-Y
2024-03-07,B029,M17,C,OP06,505,12,0.024,MAT-X17,SUP-Y
2024-03-08,B030,M01,A,OP01,498,13,0.026,MAT-X17,SUP-Y
2024-03-08,B031,M17,B,OP03,500,18,0.036,MAT-X17,SUP-Y
2024-03-09,B032,M01,A,OP01,500,15,0.030,MAT-X17,SUP-Y
2024-03-09,B033,M17,B,OP03,495,22,0.044,MAT-X17,SUP-Y
2024-03-10,B034,M02,A,OP02,492,10,0.020,MAT-X17,SUP-Y
2024-03-10,B035,M17,C,OP06,500,28,0.056,MAT-X17,SUP-Y
2024-03-11,B036,M01,A,OP01,498,18,0.036,MAT-X17,SUP-Y
2024-03-11,B037,M17,B,OP03,502,32,0.064,MAT-X17,SUP-Y
2024-03-12,B038,M17,B,OP03,500,35,0.070,MAT-X17,SUP-Y
2024-03-13,B039,M17,B,OP03,498,35,0.070,MAT-X17,SUP-Y
2024-03-13,B040,M01,A,OP01,500,20,0.040,MAT-X17,SUP-Y
2024-03-14,B041,M17,C,OP06,502,36,0.072,MAT-X17,SUP-Y
2024-03-15,B042,M17,B,OP03,495,35,0.070,MAT-X17,SUP-Y
2024-03-18,B043,M17,B,OP03,500,35,0.070,MAT-X17,SUP-Y
2024-03-20,B044,M01,A,OP01,498,18,0.036,MAT-X17,SUP-Y
2024-03-20,B045,M02,C,OP07,490,10,0.020,MAT-X17,SUP-Y
2024-03-25,B046,M17,B,OP03,500,36,0.072,MAT-X17,SUP-Y
2024-04-01,B047,M17,B,OP03,498,12,0.024,MAT-A03,SUP-X
2024-04-01,B048,M01,A,OP01,502,11,0.022,MAT-A03,SUP-X
2024-04-05,B049,M17,B,OP03,500,10,0.020,MAT-A03,SUP-X
2024-04-05,B050,M02,A,OP02,492,10,0.020,MAT-A03,SUP-X
