date,machine_id,temperature_c,vibration_mm_s,pressure_bar,uptime_hours,oil_level_pct,error_codes
2024-02-01,M01,72.1,1.2,4.8,22.5,95,
2024-02-01,M02,70.5,1.1,4.9,23.0,96,
2024-02-01,M17,71.8,1.3,4.8,22.0,94,
2024-02-05,M01,71.9,1.2,4.8,22.8,94,
2024-02-05,M17,72.2,1.3,4.9,22.5,93,
2024-02-12,M17,72.0,1.2,4.8,23.0,95,
2024-02-20,M17,72.5,1.4,4.8,22.0,92,
2024-03-01,M01,72.0,1.2,4.9,23.0,95,
2024-03-01,M17,72.8,1.4,4.8,22.5,91,
2024-03-04,M17,73.1,1.5,4.8,22.0,90,
2024-03-05,M01,72.3,1.2,4.9,23.0,94,
2024-03-05,M17,73.5,1.6,4.7,21.5,89,
2024-03-06,M17,74.2,1.7,4.7,21.0,88,
2024-03-07,M17,74.8,1.8,4.7,22.0,88,
2024-03-08,M01,72.5,1.3,4.8,22.5,93,
2024-03-08,M17,78.3,2.4,4.5,20.5,86,ERR-TEMP-HIGH
2024-03-09,M17,81.2,2.8,4.4,20.0,84,ERR-TEMP-HIGH;ERR-VIB
2024-03-10,M01,73.1,1.4,4.8,22.0,92,
2024-03-10,M17,82.7,3.1,4.3,19.5,82,ERR-TEMP-HIGH;ERR-VIB
2024-03-11,M17,83.4,3.3,4.3,19.0,80,ERR-TEMP-HIGH;ERR-VIB
2024-03-12,M17,83.8,3.4,4.2,18.5,79,ERR-TEMP-HIGH;ERR-VIB
2024-03-13,M17,84.1,3.5,4.2,18.0,78,ERR-TEMP-HIGH;ERR-VIB
2024-03-14,M17,84.3,3.6,4.2,17.5,77,ERR-TEMP-HIGH;ERR-VIB
2024-03-15,M17,84.0,3.5,4.2,18.0,77,ERR-TEMP-HIGH;ERR-VIB
2024-03-18,M17,83.9,3.4,4.3,18.5,78,ERR-TEMP-HIGH;ERR-VIB
2024-03-20,M01,73.5,1.5,4.8,22.0,91,
2024-03-20,M02,71.2,1.2,4.9,23.0,95,
2024-03-25,M17,84.2,3.5,4.2,18.0,76,ERR-TEMP-HIGH;ERR-VIB
2024-04-01,M17,74.5,1.6,4.7,21.0,88,
2024-04-05,M17,73.2,1.4,4.8,22.0,91,
